"Año;Mes;Fecha;Precio;Mineral;Unidad de medida;Numero Índice"
"2001;3;2001M03;1509,17;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);81,4130505146408"
"2001;4;2001M04;1496,91;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);80,7516777075286"
"2001;5;2001M05;1538,77;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);83,0098396737371"
"2001;6;2001M06;1466,13;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);79,0912327643873"
"2001;7;2001M07;1416,39;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);76,4079796301491"
"2001;8;2001M08;1377,08;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);74,2873788921736"
"2001;9;2001M09;1344,56;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);72,5330686403556"
"2001;10;2001M10;1282,5;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);69,1852059642233"
"2001;11;2001M11;1327,46;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);71,6105992274993"
"2001;12;2001M12;1344,63;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);72,5368448309346"
"2002;1;2002M01;1368,59;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);73,8293809205274"
"2002;2;2002M02;1369,34;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);73,8698401053018"
"2002;3;2002M03;1405;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);75,7935394773752"
"2002;4;2002M04;1369,99;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);73,9049047321062"
"2002;5;2002M05;1343,3;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);72,4650972099346"
"2002;6;2002M06;1353,97;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);73,0406965453251"
"2002;7;2002M07;1338,09;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);72,1840407397018"
"2002;8;2002M08;1291,6;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);69,676110739486"
"2002;9;2002M09;1301,25;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);70,1966855835833"
"2002;10;2002M10;1310,58;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);70,6999978421768"
"2002;11;2002M11;1372,2;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);74,0241244632415"
"2002;12;2002M12;1375,07;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);74,1789482769782"
"2003;1;2003M01;1378,28;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);74,3521135878126"
"2003;2;2003M02;1422,16;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);76,7192456250135"
"2003;3;2003M03;1389,27;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);74,9449755087068"
"2003;4;2003M04;1332,01;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);71,8560516151307"
"2003;5;2003M05;1398,49;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);75,4423537535334"
"2003;6;2003M06;1409,85;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);76,0551755389163"
"2003;7;2003M07;1436,09;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);77,4707075502233"
"2003;8;2003M08;1456,31;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);78,5614871717411"
"2003;9;2003M09;1415,57;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);76,3637442547958"
"2003;10;2003M10;1474,25;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);79,5292708715448"
"2003;11;2003M11;1508,34;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);81,3682756834905"
"2003;12;2003M12;1554,91;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);83,8805213300822"
"2004;1;2004M01;1606,49;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);86,6630343309669"
"2004;2;2004M02;1685,63;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);90,9322875083616"
"2004;3;2004M03;1655,99;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);89,3333405260773"
"2004;4;2004M04;1729,74;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);93,3118270288932"
"2004;5;2004M05;1623,22;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);87,5655438793345"
"2004;6;2004M06;1677,72;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);90,5055779729409"
"2004;7;2004M07;1709,27;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);92,2075610124506"
"2004;8;2004M08;1692,19;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);91,2861705111883"
"2004;9;2004M09;1723,6;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);92,9806011695402"
"2004;10;2004M10;1819,57;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);98,1577584532723"
"2004;11;2004M11;1813,9;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);97,8518870163779"
"2004;12;2004M12;1849,18;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);99,7550870681656"
"2005;1;2005M01;1834,43;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);98,9593897676024"
"2005;2;2005M02;1882,85;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);101,571434736638"
"2005;3;2005M03;1979,85;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);106,80415596746"
"2005;4;2005M04;1894,29;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);102,188572168397"
"2005;5;2005M05;1743,7;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);94,0649073214941"
"2005;6;2005M06;1731,3;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);93,395982133224"
"2005;7;2005M07;1778,79;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);95,957857713139"
"2005;8;2005M08;1867,84;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);100,761711585353"
"2005;9;2005M09;1839,91;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);99,255011544354"
"2005;10;2005M10;1928,71;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);104,045379021643"
"2005;11;2005M11;2050,59;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);110,620266275381"
"2005;12;2005M12;2247,45;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);121,239993094966"
"2006;1;2006M01;2377,86;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);128,275036143538"
"2006;2;2006M02;2455,33;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);132,454200202835"
"2006;3;2006M03;2429,13;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);131,040826014716"
"2006;4;2006M04;2621,11;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);141,397298405369"
"2006;5;2006M05;2861,48;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);154,364197397665"
"2006;6;2006M06;2477,34;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);133,641542412015"
"2006;7;2006M07;2512,71;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);135,549597565975"
"2006;8;2006M08;2459,93;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);132,702349869452"
"2006;9;2006M09;2472,88;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);133,400945126556"
"2006;10;2006M10;2654,59;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);143,203396413698"
"2006;11;2006M11;2702,8;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);145,804112810996"
"2006;12;2006M12;2813,63;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);151,782901409059"
"2007;1;2007M01;2809,34;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);151,551474872149"
"2007;2;2007M02;2832,2;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);152,784670824073"
